TRAIL_conc,simulation,apoptosis
10ng/mL,0,1
10ng/mL,2,1
10ng/mL,4,0
10ng/mL,6,0
10ng/mL,8,1
10ng/mL,10,0
10ng/mL,12,0
10ng/mL,14,0
10ng/mL,16,0
10ng/mL,18,0
10ng/mL,20,0
10ng/mL,22,0
10ng/mL,24,0
10ng/mL,26,0
10ng/mL,28,0
10ng/mL,30,1
10ng/mL,32,0
10ng/mL,34,0
10ng/mL,36,0
10ng/mL,38,1
10ng/mL,40,0
10ng/mL,42,0
10ng/mL,44,0
10ng/mL,46,0
10ng/mL,48,1
10ng/mL,50,0
10ng/mL,52,0
10ng/mL,54,0
10ng/mL,56,0
10ng/mL,58,0
10ng/mL,60,0
10ng/mL,62,1
10ng/mL,64,1
10ng/mL,66,0
10ng/mL,68,0
10ng/mL,70,0
10ng/mL,72,0
10ng/mL,74,0
10ng/mL,76,0
10ng/mL,78,0
10ng/mL,80,0
10ng/mL,82,0
10ng/mL,84,0
10ng/mL,86,0
10ng/mL,88,1
10ng/mL,90,0
10ng/mL,92,0
10ng/mL,94,0
10ng/mL,96,0
10ng/mL,98,1
10ng/mL,100,0
10ng/mL,102,0
10ng/mL,104,0
10ng/mL,106,0
10ng/mL,108,0
10ng/mL,110,0
10ng/mL,112,0
10ng/mL,114,0
10ng/mL,116,0
10ng/mL,118,0
10ng/mL,120,1
10ng/mL,122,1
10ng/mL,124,0
10ng/mL,126,0
10ng/mL,128,0
10ng/mL,130,1
10ng/mL,132,0
10ng/mL,134,0
10ng/mL,136,0
10ng/mL,138,0
10ng/mL,140,0
10ng/mL,142,1
10ng/mL,144,0
10ng/mL,146,0
10ng/mL,148,1
10ng/mL,150,1
10ng/mL,152,0
10ng/mL,154,0
10ng/mL,156,0
10ng/mL,158,0
10ng/mL,160,0
10ng/mL,162,0
10ng/mL,164,0
10ng/mL,166,0
10ng/mL,168,0
10ng/mL,170,0
10ng/mL,172,1
10ng/mL,174,0
10ng/mL,176,0
10ng/mL,178,1
10ng/mL,180,1
10ng/mL,182,0
10ng/mL,184,1
10ng/mL,186,0
10ng/mL,188,0
10ng/mL,190,0
10ng/mL,192,0
10ng/mL,194,1
10ng/mL,196,0
10ng/mL,198,0
10ng/mL,200,0
10ng/mL,202,0
10ng/mL,204,0
10ng/mL,206,0
10ng/mL,208,0
10ng/mL,210,0
10ng/mL,212,0
10ng/mL,214,1
10ng/mL,216,1
10ng/mL,218,0
10ng/mL,220,0
10ng/mL,222,0
10ng/mL,224,0
10ng/mL,226,0
10ng/mL,228,0
10ng/mL,230,0
10ng/mL,232,1
10ng/mL,234,1
10ng/mL,236,0
10ng/mL,238,0
10ng/mL,240,0
10ng/mL,242,0
10ng/mL,244,1
10ng/mL,246,0
10ng/mL,248,0
10ng/mL,250,0
10ng/mL,252,0
10ng/mL,254,1
10ng/mL,256,1
10ng/mL,258,0
10ng/mL,260,0
10ng/mL,262,0
10ng/mL,264,1
10ng/mL,266,0
10ng/mL,268,0
10ng/mL,270,0
10ng/mL,272,0
10ng/mL,274,0
10ng/mL,276,0
10ng/mL,278,0
10ng/mL,280,0
10ng/mL,282,0
10ng/mL,284,0
10ng/mL,286,0
10ng/mL,288,0
10ng/mL,290,1
10ng/mL,292,0
10ng/mL,294,0
10ng/mL,296,0
10ng/mL,298,1
10ng/mL,300,0
10ng/mL,302,1
10ng/mL,304,0
10ng/mL,306,0
10ng/mL,308,0
10ng/mL,310,0
10ng/mL,312,0
10ng/mL,314,0
10ng/mL,316,0
10ng/mL,318,0
10ng/mL,320,0
10ng/mL,322,0
10ng/mL,324,1
10ng/mL,326,0
10ng/mL,328,0
10ng/mL,330,0
10ng/mL,332,0
10ng/mL,334,0
10ng/mL,336,0
10ng/mL,338,0
10ng/mL,340,0
10ng/mL,342,0
10ng/mL,344,0
10ng/mL,346,0
10ng/mL,348,1
10ng/mL,350,0
10ng/mL,352,0
10ng/mL,354,0
10ng/mL,356,0
10ng/mL,358,1
10ng/mL,360,1
10ng/mL,362,0
10ng/mL,364,0
10ng/mL,366,1
10ng/mL,368,0
10ng/mL,370,0
10ng/mL,372,0
10ng/mL,374,0
10ng/mL,376,0
10ng/mL,378,0
10ng/mL,380,0
10ng/mL,382,1
10ng/mL,384,1
10ng/mL,386,0
10ng/mL,388,0
10ng/mL,390,0
10ng/mL,392,0
10ng/mL,394,0
10ng/mL,396,0
10ng/mL,398,0
50ng/mL,400,1
50ng/mL,402,1
50ng/mL,404,1
50ng/mL,406,1
50ng/mL,408,1
50ng/mL,410,0
50ng/mL,412,1
50ng/mL,414,0
50ng/mL,416,0
50ng/mL,418,0
50ng/mL,420,1
50ng/mL,422,1
50ng/mL,424,1
50ng/mL,426,1
50ng/mL,428,1
50ng/mL,430,1
50ng/mL,432,1
50ng/mL,434,1
50ng/mL,436,1
50ng/mL,438,1
50ng/mL,440,1
50ng/mL,442,1
50ng/mL,444,1
50ng/mL,446,1
50ng/mL,448,1
50ng/mL,450,1
50ng/mL,452,1
50ng/mL,454,1
50ng/mL,456,0
50ng/mL,458,1
50ng/mL,460,1
50ng/mL,462,1
50ng/mL,464,0
50ng/mL,466,1
50ng/mL,468,0
50ng/mL,470,1
50ng/mL,472,1
50ng/mL,474,1
50ng/mL,476,0
50ng/mL,478,0
50ng/mL,480,0
50ng/mL,482,1
50ng/mL,484,1
50ng/mL,486,0
50ng/mL,488,1
50ng/mL,490,0
50ng/mL,492,0
50ng/mL,494,0
50ng/mL,496,1
